,Country,Produce,Year,Production Quantity,Import Quantity,Export Quantity
24308,Mexico,Avocados,2012,1316104.0,923.0,494481.0
85979,Chile,Avocados,2012,160000.0,698.0,91527.0
38041,Peru,Avocados,2012,268525.0,0.0,83576.0
53491,Spain,Avocados,2012,76337.0,34060.0,65494.0
52140,South Africa,Avocados,2012,91603.0,1660.0,54502.0
68912,United States of America,Avocados,2012,238495.0,502546.0,29630.0
147899,France,Avocados,2012,980.0,94500.0,18073.0
31415,New Zealand,Avocados,2012,25500.0,1.0,11077.0
134976,Ecuador,Avocados,2012,28600.0,1770.0,6048.0
55643,Brazil,Avocados,2012,159903.0,0.0,4273.0
