,Country,Produce,Year,Production Quantity,Import Quantity,Export Quantity
68912,United States of America,Avocados,2012,238495.0,502546.0,29630.0
147899,France,Avocados,2012,980.0,94500.0,18073.0
53491,Spain,Avocados,2012,76337.0,34060.0,65494.0
145253,El Salvador,Avocados,2012,5250.0,13754.0,3.0
89668,Costa Rica,Avocados,2012,1672.0,13731.0,95.0
1306,Australia,Avocados,2012,48951.0,9627.0,2300.0
155293,Argentina,Avocados,2012,4100.0,9179.0,117.0
156952,Honduras,Avocados,2012,1258.0,9013.0,34.0
26109,Morocco,Avocados,2012,54340.0,8817.0,1933.0
88404,Colombia,Avocados,2012,255384.0,6126.0,5.0
